segment,segment_day,V,curr_D,P,temp,H,Tmean,wave_D,VM,DM,VG,sea_temp
15,10,526.8333,145.5417,1015.8625,21.075,75.1667,45.2083,40.375,69.4583,58.2917,86.75,24.7625
15,11,618.9583,212.9583,1019.5708,19.7792,253.9167,57.4583,31.4583,140.1667,27.2917,178.0833,24.7417
15,12,619.2917,247.1667,1023.4792,17.4625,330.5417,61.6667,34.2083,154.125,30.4583,194.25,24.3333
15,13,476.0833,255.3333,1025.2042,17.425,287.4583,60.0833,26.625,132,29.0417,164.75,23.6833
15,14,420.0417,204.2083,1023.425,18.6,172.9167,54.4583,45.8333,92.9583,21.5833,117.2917,23.8375
15,15,446.5714,120.7857,1022.4833,19.8917,94.0417,47.5833,83.5833,74.3333,44.3333,94.7083,24.6458
15,16,491.3333,127.7917,1022.9792,19.5833,188.125,53.6667,30,112.375,23.5,140.875,24.9458
15,17,564.4583,169.5,1024.1792,19.0333,221.2083,57.1667,54.375,117.5,26.625,147.6667,24.85
15,18,569.8333,156.6667,1023.2417,19.9167,152.9583,51.9167,25.7917,99.125,27.5417,126.125,24.9083
15,19,642.8333,144.0417,1021.4625,20.1,147.4583,51.875,39,98.5833,25.5,125.7083,24.7792
15,20,719.75,167.5,1020.3125,20.3458,141.75,51.4583,45.9167,99.0417,25.5833,123.7083,24.9375
15,21,704.3333,146.25,1019.4083,20.7125,126.25,50.7917,53.5417,88.75,24.25,111.2917,24.8292
15,22,701.4583,150.375,1017,21.0167,104.8696,48.7826,65.6522,80.125,25.0833,99.9583,24.8542
15,23,659.6667,182.9167,1017.9958,20.1917,209,54.875,30.5833,125.7083,25.5,158.7083,24.9458
15,24,618.7917,249.25,1020.2,19.2042,239.7083,57.0833,63.7083,126.0417,27.75,157.6667,24.6
15,25,580.625,216.75,1018.6458,19.3542,211.4583,55.875,32.7917,112.25,27.125,142.625,24.3625
15,26,507.25,132.8333,1016.85,19.5417,138.3182,50.7727,42.5,91.2917,22.4167,114.6667,24.1708
15,27,426.7917,144.75,1016.1958,19.3375,137.7917,49.5833,25.2917,89.4167,91.8333,112.1667,24.6458
15,28,405.7083,146.75,1017.8583,18.2625,218.1667,54.9167,28.0417,118.9583,33.625,151.0417,24.8375
15,29,408.25,225.2917,1019.975,17.5458,169.7917,52.0833,25.2083,95.5833,35.8333,122.25,24.6375
15,30,401.7083,96.5417,1020.2833,18.0458,134.5417,46.9583,32.2917,98.4583,18.625,127.25,24.4542
15,31,442.0833,153.3333,1020.425,17.7542,179.4583,53.5833,39.75,93.7083,25.9167,120.0417,24.3292
