SeaTemp_mean,SeaTemp_min,SeaTemp_max,Temperature_mean,Temperature_min,Temperature_max,SeaPres_mean,WS_mean,WD_mean,class
18.99142857,18.91,19,20.15714286,19.1,21.7,1015.771429,5.535714286,47.85714286,2
19.11083333,19,19.2,19.07916667,17.9,21.1,1016.604167,5.795833333,45.83333333,2
19.26333333,19.2,19.3,17.85416667,16.8,18.9,1018.0375,6.954166667,45.83333333,2
19.18416667,19.1,19.3,17.25833333,16.7,17.9,1020.316667,5.5125,40.41666667,2
19.04625,18.9,19.1,16.11666667,15,16.9,1022.258333,6.35,38.33333333,2
18.67333333,18.4,18.9,15.02916667,14.1,16.2,1023.841667,7.2125,48.33333333,2
18.20208333,18,18.4,14.8875,14.2,16.8,1025.404167,6.7875,47.91666667,2
17.795,17.7,18,16.1375,14.5,18.5,1023.8875,5.929166667,47.08333333,2
17.62,17.6,17.7,17.79166667,16.6,19.7,1022.904167,6,48.75,2
17.69875,17.63,17.72,17.71666667,16.5,19.8,1021.5125,5.2625,39.58333333,1
17.84541667,17.79,17.9,17.28333333,16.7,18.6,1020.8125,5.3625,41.66666667,1
17.90041667,17.9,17.91,17.44583333,16.8,18.7,1021.4,6.491666667,46.66666667,1
17.92458333,17.9,18,17.45416667,15.8,19.5,1021.779167,6.520833333,40.83333333,1
17.98333333,17.9,18,17.55833333,16.3,20.3,1020.891667,4.329166667,35.41666667,1
18.12291667,18,18.25,18.1125,17.2,20,1019.841667,3.175,45.41666667,1
18.335,18.26,18.4,17.4125,16.5,18.6,1019.8375,5.883333333,48.33333333,1
18.37041667,18.29,18.49,16.3625,15.9,16.9,1020.883333,6.2375,45,1
18.15083333,18.07,18.21,16.15833333,14.9,17.4,1020.504167,5.5875,45,1
18.00625,17.99,18.08,16.25416667,15.5,17.4,1019.483333,4.866666667,40.41666667,1
17.97458333,17.9,18.08,16.5,14.7,17.8,1019.2875,6.366666667,47.5,1
18.06333333,17.91,18.1,16.65416667,16,17.6,1020.820833,6.908333333,47.91666667,1
17.74703975,17.325426,17.909,15.40833333,14.2,16.1,1021.533333,6.004166667,38.75,1
16.81230208,15.539714,17.7,14.71666667,13.9,15.7,1022.579167,7.758333333,46.25,1
15.72551958,15.6100235,15.829142,15.2375,14.4,16.8,1022.325,5.629166667,40,1
15.89473529,15.832154,15.973872,15.57083333,14.7,17.2,1022.3625,4.8625,41.66666667,1
16.06257246,15.955248,16.152998,15.41666667,14.3,16.6,1022.791667,7.55,47.5,1
16.22361942,16.105774,16.299416,15.06666667,13.4,17.6,1025.816667,6.65,40.41666667,1
16.35542404,16.281912,16.4,14.20833333,11.7,17,1024.933333,5.008333333,47.5,1
16.39166667,16.3,16.4,15.40416667,13.1,18.7,1024.791667,3.554166667,37.91666667,1
16.44,16.4,16.5,16.14166667,14.2,18.8,1023.995833,4.229166667,25.83333333,1
16.5225,16.42,16.6,16.5,15.1,18.5,1024.991667,5.704166667,27.91666667,1
16.56291667,16.5,16.65,14.39583333,12.9,16.5,1025.766667,6.6625,29.16666667,1
16.44708333,16.4,16.5,15.10833333,12.8,18,1024.016667,4.5125,28.33333333,1
16.51166667,16.4,16.6,16.675,14.2,19.5,1021.170833,3.341666667,22.08333333,1
16.77958333,16.6,16.94,18.87916667,15.9,22,1020.433333,2.604166667,26.25,1
17.1075,16.94,17.3,20.16666667,17.9,23.1,1020.45,2.754166667,25.41666667,1
17.40583333,17.3,17.54,20.175,18,22.9,1020.7875,2.795833333,62.08333333,1
17.66833333,17.57,17.8,20.70833333,18.5,24.5,1020.0625,1.595833333,141.6666667,1
17.89916667,17.8,18,21.975,19.8,25.6,1017.7625,1.358333333,149.5833333,1
18.12625,18,18.2,19.80833333,17.9,22.1,1017.304167,4.683333333,25.41666667,1
18.37166667,18.21,18.5,18.6875,17.7,20.7,1019.354167,5.391666667,27.08333333,1
18.60208333,18.5,18.7,19.2,17.7,22.5,1018.379167,3.2,24.16666667,1
18.85333333,18.7,19,21.79583333,17.6,26.5,1015.983333,1.320833333,113.3333333,1
19.07208333,19,19.19,21.85,19.2,25.8,1016.654167,3.183333333,155.8333333,1
19.25208333,19.2,19.38,19.45833333,18.2,21.4,1018.3,5.470833333,28.75,1
19.435,19.4,19.5,21.8375,19.1,25.5,1014.633333,2.175,134.1666667,1
19.57166667,19.5,19.66,23.39583333,21.7,26.3,1012.879167,2.379166667,222.9166667,1
19.74666667,19.67,19.8,22.92083333,21.1,26.6,1013.525,2.175,162.9166667,1
19.89083333,19.8,20,20.59583333,19.7,22.2,1014.833333,4.866666667,26.25,1
20.105,20,20.2,20.97083333,19.3,23.9,1015.966667,4.075,40,1
20.30458333,20.2,20.4,20.4875,19.3,22.5,1016.1625,5.1,22.08333333,1
20.47333333,20.4,20.5,20.06666667,18.5,23.6,1014.154167,2.6625,117.9166667,1
20.60041667,20.5,20.69,20.69166667,19.3,23,1014.941667,5.2875,27.08333333,1
20.69958333,20.67,20.71,20.7375,19.5,23.4,1015.279167,3.3375,135,1
20.78791667,20.7,20.88,19.00833333,17.4,21.2,1014.220833,5.5625,27.91666667,1
20.82625,20.7,20.9,18.50416667,17,20.5,1016.408333,6.466666667,26.25,1
20.64583333,20.6,20.77,19.75833333,18.1,22.1,1016.995833,4.270833333,35.41666667,1
20.6,20.6,20.6,20.26666667,19.3,22.2,1016.979167,4.945833333,19.16666667,1
20.6,20.6,20.6,20.47083333,19.1,22.6,1016.308333,3.308333333,51.25,1
20.63291667,20.6,20.7,21.7875,19.9,25,1015.370833,3.054166667,23.33333333,1
20.7,20.7,20.7,22.3375,20.3,26,1013.895833,2.1625,23.75,1
20.75416667,20.7,20.8,23.4,20.9,26.4,1011.583333,1.85,170.8333333,1
20.84083333,20.8,20.9,20.41666667,17.3,22.8,1014.5,6.829166667,56.66666667,1
20.93083333,20.8,21,16.26666667,15.3,17.8,1018.204167,8.2125,30.83333333,1
20.51166667,20.28,20.8,15.875,15.3,16.6,1016.958333,6.191666667,27.91666667,1
20.0225,19.9,20.2,17.77916667,16.4,19.5,1016.616667,5.5625,30.83333333,1
19.82041667,19.8,19.9,18.93333333,17.8,20.8,1017.804167,4.716666667,28.75,1
19.815,19.8,19.89,20.38333333,19,22.7,1016.8375,2.454166667,110.4166667,1
19.92541667,19.89,20,19.04166667,17.7,20.2,1018.879167,6.270833333,30,1
19.94083333,19.9,20,18.7125,17.8,21.5,1019.391667,4.804166667,23.33333333,1
19.91416667,19.9,19.99,20.30416667,18.3,22.4,1017.291667,2.854166667,25.41666667,1
20.00083333,19.92,20.09,21.3875,19.9,22.7,1014.158333,2.358333333,81.25,1
20.115,20.08,20.2,23.23333333,20.6,26.7,1010.925,1.104166667,160.8333333,1
20.22958333,20.2,20.3,21.99166667,20.2,23.8,1013.025,3.295833333,70.83333333,1
20.37791667,20.3,20.5,19.56666667,18.4,20.6,1016.233333,6.9375,28.75,1
20.66,20.5,20.7,18.37083333,17.6,19.2,1016.441667,6.0875,30,1
20.60791667,20.51,20.69,18,17,19,1016.675,5.3125,38.75,1
20.3725,20.2,20.5,16.69583333,15.9,17.5,1020.191667,6.0375,20.83333333,1
19.99416667,19.9,20.2,18.42083333,16.6,21,1020.025,5.158333333,26.25,1
19.9,19.9,19.9,19.74583333,18.3,21.9,1020.045833,3.708333333,23.75,1
19.91125,19.9,19.97,21.21666667,19.2,24.1,1018.15,2.841666667,77.5,1
20.03208333,20,20.1,23.20416667,20.9,26.5,1012.6875,1.9875,215,1
20.19833333,20.1,20.29,22.6625,21.4,25,1011.420833,2.529166667,190.8333333,1
20.3175,20.3,20.4,22.5375,20.8,25,1012.483333,2.383333333,122.9166667,1
